
                  X              SStressRT0   

                0.                -9.98537    
                7.69231E-03      -16.4682     
               15.3846E-03       -26.2393     
               23.0769E-03       -35.5959     
               30.7692E-03       -42.6509     
               38.4615E-03       -47.7875     
               46.1538E-03       -51.2731     
               53.8461E-03       -53.7576     
               61.5385E-03       -55.4973     
               69.2308E-03       -56.8        
               76.9231E-03       -58.0806     
               84.6154E-03       -58.8115     
               92.3077E-03       -58.8796     
              100.E-03           -58.2725     
              107.692E-03        -56.9596     
              115.385E-03        -54.892      
              123.077E-03        -52.         
              130.769E-03        -48.172      
              138.462E-03        -43.2289     
              146.154E-03        -37.0857     
              153.846E-03        -29.5607     
              161.538E-03        -20.4352     
              169.231E-03         -9.44621    
              176.923E-03          3.72116    
              184.615E-03         19.4436     
              192.308E-03         38.1703     
              200.E-03            49.4442     




