
                  X             SStressRT025  

                0.              -201.19       
               14.0648E-03      -500.272      
               28.1297E-03      -848.625      
               42.1945E-03        -1.05101E+03
               56.2593E-03        -1.16363E+03
               70.3241E-03        -1.2093E+03 
               84.3889E-03        -1.21133E+03
               98.4538E-03        -1.18608E+03
              112.519E-03         -1.13965E+03
              126.583E-03         -1.08073E+03
              140.648E-03         -1.01444E+03
              154.713E-03       -944.82       
              168.778E-03       -875.046      
              182.843E-03       -807.676      
              196.908E-03       -744.746      
              210.972E-03       -687.838      
              225.037E-03       -638.107      
              239.102E-03       -597.148      
              253.167E-03       -564.559      
              267.232E-03       -539.848      
              281.296E-03       -522.32       
              295.361E-03       -510.934      
              309.426E-03       -504.387      
              323.491E-03       -501.241      
              337.556E-03       -500.112      
              351.621E-03       -499.885      
              365.685E-03       -499.882      




