
                  X             SStressRT05   

                0.                -7.14514    
                7.69231E-03      -11.8528     
               15.3846E-03       -19.0354     
               23.0769E-03       -26.03       
               30.7692E-03       -31.4624     
               38.4615E-03       -35.5673     
               46.1538E-03       -38.5131     
               53.8462E-03       -40.754      
               61.5385E-03       -42.4761     
               69.2308E-03       -43.9233     
               76.9231E-03       -45.4967     
               84.6154E-03       -46.691      
               92.3077E-03       -47.4995     
              100.E-03           -47.9361     
              107.692E-03        -48.0049     
              115.385E-03        -47.6999     
              123.077E-03        -47.0048     
              130.769E-03        -45.8827     
              138.462E-03        -44.2663     
              146.154E-03        -42.1278     
              153.846E-03        -39.3938     
              161.538E-03        -35.9727     
              169.231E-03        -31.751      
              176.923E-03        -26.5895     
              184.615E-03        -20.3193     
              192.308E-03        -12.7351     
              200.E-03            -8.13603    




