
                  X              StressRR0    

                0.               -14.0005     
                3.84615E-03       -9.76988    
                7.69231E-03       15.546      
               11.5385E-03        67.2142     
               15.3846E-03       144.183      
               19.2308E-03       238.994      
               23.0769E-03       340.196      
               26.9231E-03       458.792      
               30.7692E-03       578.371      
               34.6154E-03       697.233      
               38.4615E-03       815.421      
               42.3077E-03       931.575      
               46.1538E-03         1.04475E+03
               50.E-03             1.15428E+03
               53.8461E-03         1.25958E+03
               57.6923E-03         1.36014E+03
               61.5385E-03         1.45553E+03
               65.3846E-03         1.5453E+03 
               69.2308E-03         1.62897E+03
               73.0769E-03         1.70606E+03
               76.9231E-03         1.77598E+03
               80.7692E-03         1.83806E+03
               84.6154E-03         1.89153E+03
               88.4615E-03         1.93545E+03
               92.3077E-03         1.96872E+03
               96.1538E-03         1.99003E+03
              100.E-03             1.99774E+03




