
                  X             StressRR025   

                0.                92.2124     
                7.03241E-03      244.191      
               14.0648E-03       443.058      
               21.0972E-03       601.512      
               28.1297E-03       725.605      
               35.1621E-03       825.5        
               42.1945E-03       915.446      
               49.2269E-03       992.625      
               56.2593E-03         1.06004E+03
               63.2917E-03         1.11971E+03
               70.3241E-03         1.17313E+03
               77.3565E-03         1.22141E+03
               84.3889E-03         1.26527E+03
               91.4213E-03         1.3052E+03 
               98.4538E-03         1.34174E+03
              105.486E-03          1.37504E+03
              112.519E-03          1.40512E+03
              119.551E-03          1.43188E+03
              126.583E-03          1.45512E+03
              133.616E-03          1.47457E+03
              140.648E-03          1.48996E+03
              147.681E-03          1.50098E+03
              154.713E-03          1.50744E+03
              161.745E-03          1.50934E+03
              168.778E-03          1.5072E+03 
              175.81E-03           1.50299E+03
              182.843E-03          1.50061E+03




