
                  X              StressRR05   

                0.               185.456      
                3.84615E-03      309.536      
                7.69231E-03      500.502      
               11.5385E-03       683.954      
               15.3846E-03       826.218      
               19.2308E-03       935.041      
               23.0769E-03         1.00836E+03
               26.9231E-03         1.07151E+03
               30.7692E-03         1.11368E+03
               34.6154E-03         1.14123E+03
               38.4615E-03         1.15815E+03
               42.3077E-03         1.16627E+03
               46.1539E-03         1.16759E+03
               50.E-03             1.16359E+03
               53.8462E-03         1.15541E+03
               57.6923E-03         1.144E+03  
               61.5385E-03         1.13018E+03
               65.3846E-03         1.11468E+03
               69.2308E-03         1.09814E+03
               73.0769E-03         1.08117E+03
               76.9231E-03         1.06435E+03
               80.7692E-03         1.04827E+03
               84.6154E-03         1.03351E+03
               88.4615E-03         1.02071E+03
               92.3077E-03         1.01054E+03
               96.1538E-03         1.00377E+03
              100.E-03             1.00126E+03




