
                  X              StressTT0    

                0.                -1.19287E+03
                3.84615E-03     -937.836      
                7.69231E-03     -531.58       
               11.5385E-03      -119.895      
               15.3846E-03       229.891      
               19.2308E-03       530.329      
               23.0769E-03       770.872      
               26.9231E-03         1.01328E+03
               30.7692E-03         1.22318E+03
               34.6154E-03         1.4122E+03 
               38.4615E-03         1.58904E+03
               42.3077E-03         1.7571E+03 
               46.1538E-03         1.9198E+03 
               50.E-03             2.07986E+03
               53.8461E-03         2.23961E+03
               57.6923E-03         2.40112E+03
               61.5385E-03         2.56636E+03
               65.3846E-03         2.73722E+03
               69.2308E-03         2.91556E+03
               73.0769E-03         3.10327E+03
               76.9231E-03         3.3023E+03 
               80.7692E-03         3.51473E+03
               84.6154E-03         3.74278E+03
               88.4615E-03         3.98887E+03
               92.3077E-03         4.25569E+03
               96.1538E-03         4.54623E+03
              100.E-03             4.70735E+03




