
                  X             StressTT025   

                0.                 3.99722E+03
               14.0648E-03         3.80073E+03
               28.1297E-03         3.54078E+03
               42.1945E-03         3.33528E+03
               56.2593E-03         3.16399E+03
               70.3241E-03         3.00787E+03
               84.3889E-03         2.89223E+03
               98.4538E-03         2.7767E+03 
              112.519E-03          2.67066E+03
              126.583E-03          2.57066E+03
              140.648E-03          2.47487E+03
              154.713E-03          2.38198E+03
              168.778E-03          2.29113E+03
              182.843E-03          2.20181E+03
              196.908E-03          2.11386E+03
              210.972E-03          2.02742E+03
              225.037E-03          1.94291E+03
              239.102E-03          1.86146E+03
              253.167E-03          1.78408E+03
              267.232E-03          1.7121E+03 
              281.296E-03          1.64715E+03
              295.361E-03          1.59114E+03
              309.426E-03          1.54614E+03
              323.491E-03          1.51434E+03
              337.556E-03          1.49721E+03
              351.621E-03          1.49334E+03
              365.685E-03          1.49467E+03




