
                  X              StressTT05   

                0.                 8.31515E+03
                7.69231E-03        7.97458E+03
               15.3846E-03         7.42626E+03
               23.0769E-03         6.85096E+03
               30.7692E-03         6.34594E+03
               38.4615E-03         5.90352E+03
               46.1538E-03         5.51868E+03
               53.8462E-03         5.17005E+03
               61.5385E-03         4.86023E+03
               69.2308E-03         4.58073E+03
               76.9231E-03         4.29472E+03
               84.6154E-03         4.05094E+03
               92.3077E-03         3.823E+03  
              100.E-03             3.60827E+03
              107.692E-03          3.40441E+03
              115.385E-03          3.20939E+03
              123.077E-03          3.0214E+03 
              130.769E-03          2.83884E+03
              138.462E-03          2.66022E+03
              146.154E-03          2.48374E+03
              153.846E-03          2.30801E+03
              161.538E-03          2.13163E+03
              169.231E-03          1.95322E+03
              176.923E-03          1.77131E+03
              184.615E-03          1.58437E+03
              192.308E-03          1.39078E+03
              200.E-03             1.28222E+03




